clocks.current.sm [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
585 MHz, 26.76 W, 48, 0x0000000000000000
585 MHz, 26.76 W, 49, 0x0000000000000000
585 MHz, 49.84 W, 49, 0x0000000000000000
585 MHz, 49.84 W, 49, 0x0000000000000000
1230 MHz, 49.84 W, 49, 0x0000000000000004
1260 MHz, 49.84 W, 50, 0x0000000000000004
1260 MHz, 49.84 W, 50, 0x0000000000000004
1245 MHz, 69.31 W, 50, 0x0000000000000004
1245 MHz, 69.31 W, 51, 0x0000000000000004
1245 MHz, 69.31 W, 51, 0x0000000000000004
1245 MHz, 69.80 W, 51, 0x0000000000000004
1215 MHz, 69.61 W, 51, 0x0000000000000004
1215 MHz, 69.61 W, 51, 0x0000000000000004
1215 MHz, 69.61 W, 51, 0x0000000000000004
1230 MHz, 69.61 W, 52, 0x0000000000000004
1230 MHz, 69.12 W, 52, 0x0000000000000004
1230 MHz, 69.12 W, 52, 0x0000000000000004
1230 MHz, 69.12 W, 52, 0x0000000000000004
1230 MHz, 70.15 W, 52, 0x0000000000000004
1230 MHz, 70.15 W, 52, 0x0000000000000004
1230 MHz, 70.15 W, 52, 0x0000000000000004
1230 MHz, 70.54 W, 52, 0x0000000000000004
1215 MHz, 69.31 W, 52, 0x0000000000000004
1230 MHz, 69.31 W, 52, 0x0000000000000004
1230 MHz, 69.31 W, 52, 0x0000000000000004
1230 MHz, 69.31 W, 52, 0x0000000000000004
1230 MHz, 69.21 W, 52, 0x0000000000000004
1215 MHz, 69.21 W, 52, 0x0000000000000004
1215 MHz, 69.21 W, 52, 0x0000000000000004
1215 MHz, 69.21 W, 52, 0x0000000000000004
1230 MHz, 69.21 W, 52, 0x0000000000000004
1215 MHz, 69.21 W, 52, 0x0000000000000004
1215 MHz, 69.12 W, 52, 0x0000000000000004
1215 MHz, 69.12 W, 52, 0x0000000000000004
1215 MHz, 69.12 W, 53, 0x0000000000000004
1230 MHz, 69.12 W, 53, 0x0000000000000004
1230 MHz, 69.21 W, 53, 0x0000000000000004
1230 MHz, 69.21 W, 53, 0x0000000000000004
1230 MHz, 69.21 W, 53, 0x0000000000000004
1215 MHz, 69.70 W, 53, 0x0000000000000004
1215 MHz, 69.70 W, 53, 0x0000000000000004
1215 MHz, 69.70 W, 53, 0x0000000000000004
1230 MHz, 69.70 W, 53, 0x0000000000000004
1230 MHz, 69.31 W, 53, 0x0000000000000004
1230 MHz, 69.31 W, 53, 0x0000000000000004
1230 MHz, 69.31 W, 53, 0x0000000000000004
1200 MHz, 70.84 W, 53, 0x0000000000000004
1200 MHz, 70.84 W, 53, 0x0000000000000004
1200 MHz, 70.84 W, 53, 0x0000000000000004
1200 MHz, 68.53 W, 53, 0x0000000000000004
1200 MHz, 68.53 W, 53, 0x0000000000000004
1200 MHz, 68.53 W, 53, 0x0000000000000004
1200 MHz, 68.53 W, 53, 0x0000000000000004
1200 MHz, 69.86 W, 53, 0x0000000000000004
1200 MHz, 69.86 W, 53, 0x0000000000000004
1200 MHz, 69.86 W, 53, 0x0000000000000004
1200 MHz, 69.90 W, 53, 0x0000000000000004
1200 MHz, 69.90 W, 53, 0x0000000000000004
1200 MHz, 69.90 W, 53, 0x0000000000000004
1200 MHz, 69.90 W, 53, 0x0000000000000004
1200 MHz, 69.47 W, 53, 0x0000000000000004
1200 MHz, 69.47 W, 53, 0x0000000000000004
1200 MHz, 69.47 W, 53, 0x0000000000000004
1200 MHz, 69.96 W, 53, 0x0000000000000004
1200 MHz, 69.96 W, 53, 0x0000000000000004
1200 MHz, 69.96 W, 53, 0x0000000000000004
1200 MHz, 70.05 W, 53, 0x0000000000000004
1200 MHz, 70.05 W, 53, 0x0000000000000004
1215 MHz, 70.05 W, 53, 0x0000000000000004
1215 MHz, 69.41 W, 53, 0x0000000000000004
1215 MHz, 69.41 W, 53, 0x0000000000000004
1215 MHz, 69.41 W, 54, 0x0000000000000004
1200 MHz, 69.41 W, 54, 0x0000000000000004
1200 MHz, 69.21 W, 54, 0x0000000000000004
1200 MHz, 69.21 W, 54, 0x0000000000000004
1200 MHz, 69.21 W, 54, 0x0000000000000004
1200 MHz, 69.70 W, 54, 0x0000000000000004
